1 0 0 4 7 4 ,0 0 2 4 6 4 ,0 0 2 4 6 4 ,0 0 0 6 8 2 ,
0 1 1 3 7 4 ,0 1 1 3 7 4 ,0 0 1 5 7 3 ,0 0 1 5 7 3 ,
0 1 1 3 7 4 ,0 0 1 5 7 3 ,0 1 1 3 7 4 ,0 0 1 5 7 3 ,
0 0 2 4 6 4 ,0 0 2 4 6 4 ,0 0 2 4 6 4 ,0 1 0 4 8 3 ,
0 1 1 3 7 4 ,0 1 1 3 7 4 ,0 0 1 5 7 3 ,0 0 1 5 7 3 ,
0 1 2 2 6 5 ,0 0 2 4 6 4 ,0 0 2 4 6 4 ,0 0 0 6 8 2 ,
0 0 2 4 6 4 ,0 1 0 4 8 3 ,0 0 2 4 6 4 ,0 0 2 4 6 4 ,
0 0 3 3 5 5 ,0 0 1 5 7 3 ,0 0 3 3 5 5 ,0 0 1 5 7 3 ,
0 1 2 2 6 5 ,0 0 2 4 6 4 ,0 0 2 4 6 4 ,0 0 0 6 8 2 ,
0 0 3 3 5 5 ,0 0 3 3 5 5 ,0 0 1 5 7 3 ,0 0 1 5 7 3 ,
0 1 1 3 7 4 ,0 0 1 5 7 3 ,0 1 1 3 7 4 ,0 0 1 5 7 3 ,
0 0 2 4 6 4 ,0 0 2 4 6 4 ,0 1 0 4 8 3 ,0 0 2 4 6 4 ,
0 0 3 3 5 5 ,0 0 3 3 5 5 ,0 0 1 5 7 3 ,0 0 1 5 7 3 ,
0 1 0 8 0 7 ,0 0 0 10 0 6 ,0 0 0 10 0 6 ,0 0 2 0 14 0 ,
0 1 0 4 8 3 ,0 0 2 4 6 4 ,0 0 2 4 6 4 ,0 0 2 4 6 4 ,
0 0 3 3 5 5 ,0 0 1 5 7 3 ,0 0 3 3 5 5 ,0 0 1 5 7 3 ,
