1 0 0 8 12 24 76 192 453 864 1116 888 390 72 ,0 0 0 3 12 28 72 202 480 860 1080 875 404 80 ,0 0 0 3 12 28 72 202 480 860 1080 875 404 80 ,0 0 0 0 0 19 96 244 480 818 1056 884 416 83 ,
0 1 1 2 11 28 74 200 470 861 1093 878 399 78 ,0 0 1 3 8 29 78 198 476 866 1081 871 404 81 ,0 0 0 1 7 25 76 218 498 850 1052 869 415 85 ,0 0 0 0 3 22 84 232 498 836 1044 872 419 86 ,
0 0 1 3 8 29 78 198 476 866 1081 871 404 81 ,0 1 1 2 11 28 74 200 470 861 1093 878 399 78 ,0 0 0 0 3 22 84 232 498 836 1044 872 419 86 ,0 0 0 1 7 25 76 218 498 850 1052 869 415 85 ,
0 1 2 2 11 31 72 196 466 855 1102 890 395 73 ,0 0 1 4 11 29 74 196 470 862 1093 880 399 77 ,0 0 0 1 8 28 80 214 480 844 1072 881 408 80 ,0 0 0 0 4 25 88 228 480 830 1064 884 412 81 ,
0 0 1 4 11 29 74 196 470 862 1093 880 399 77 ,0 1 2 2 11 31 72 196 466 855 1102 890 395 73 ,0 0 0 0 4 25 88 228 480 830 1064 884 412 81 ,0 0 0 1 8 28 80 214 480 844 1072 881 408 80 ,
0 1 1 2 11 28 74 200 470 861 1093 878 399 78 ,0 0 1 3 8 29 78 198 476 866 1081 871 404 81 ,0 0 0 1 7 25 76 218 498 850 1052 869 415 85 ,0 0 0 0 3 22 84 232 498 836 1044 872 419 86 ,
0 0 1 3 8 29 78 198 476 866 1081 871 404 81 ,0 1 1 2 11 28 74 200 470 861 1093 878 399 78 ,0 0 0 0 3 22 84 232 498 836 1044 872 419 86 ,0 0 0 1 7 25 76 218 498 850 1052 869 415 85 ,
0 1 1 2 11 28 74 200 470 861 1093 878 399 78 ,0 0 0 1 7 25 76 218 498 850 1052 869 415 85 ,0 0 1 3 8 29 78 198 476 866 1081 871 404 81 ,0 0 0 0 3 22 84 232 498 836 1044 872 419 86 ,
0 1 2 2 11 31 72 196 466 855 1102 890 395 73 ,0 0 0 1 8 28 80 214 480 844 1072 881 408 80 ,0 0 1 4 11 29 74 196 470 862 1093 880 399 77 ,0 0 0 0 4 25 88 228 480 830 1064 884 412 81 ,
0 1 1 2 11 28 74 200 470 861 1093 878 399 78 ,0 0 0 1 7 25 76 218 498 850 1052 869 415 85 ,0 0 1 3 8 29 78 198 476 866 1081 871 404 81 ,0 0 0 0 3 22 84 232 498 836 1044 872 419 86 ,
0 0 1 3 8 29 78 198 476 866 1081 871 404 81 ,0 0 0 0 3 22 84 232 498 836 1044 872 419 86 ,0 1 1 2 11 28 74 200 470 861 1093 878 399 78 ,0 0 0 1 7 25 76 218 498 850 1052 869 415 85 ,
0 0 1 4 11 29 74 196 470 862 1093 880 399 77 ,0 0 0 0 4 25 88 228 480 830 1064 884 412 81 ,0 1 2 2 11 31 72 196 466 855 1102 890 395 73 ,0 0 0 1 8 28 80 214 480 844 1072 881 408 80 ,
0 0 1 3 8 29 78 198 476 866 1081 871 404 81 ,0 0 0 0 3 22 84 232 498 836 1044 872 419 86 ,0 1 1 2 11 28 74 200 470 861 1093 878 399 78 ,0 0 0 1 7 25 76 218 498 850 1052 869 415 85 ,
0 1 0 3 10 25 76 198 480 875 1076 863 406 83 ,0 0 1 2 8 26 74 208 488 864 1069 862 408 86 ,0 0 0 1 6 22 76 218 504 868 1044 845 418 94 ,0 0 0 0 2 19 84 232 504 854 1036 848 422 95 ,
0 1 1 3 12 28 78 198 452 857 1113 887 392 74 ,0 0 0 2 10 27 72 208 492 858 1064 870 410 83 ,0 0 0 1 8 30 80 206 480 856 1072 873 408 82 ,0 0 0 0 0 15 88 252 504 818 1032 876 424 87 ,
0 0 2 3 8 34 76 186 472 872 1090 875 400 78 ,0 0 1 3 8 27 78 206 476 854 1081 879 404 79 ,0 0 0 0 6 29 80 212 492 854 1056 868 414 85 ,0 0 0 0 2 21 88 236 492 830 1048 876 418 85 ,
0 0 2 2 9 32 76 200 466 852 1098 886 397 76 ,0 0 0 2 8 23 76 212 492 870 1060 850 412 91 ,0 0 0 1 4 28 84 210 492 856 1052 869 416 84 ,0 0 0 0 0 13 84 248 516 842 1020 848 428 97 ,
0 0 0 5 10 24 80 198 468 876 1088 861 402 84 ,0 0 1 2 6 26 78 212 488 852 1065 874 410 82 ,0 0 0 0 4 27 80 212 504 866 1040 852 420 91 ,0 0 0 0 2 17 80 244 516 830 1024 868 426 89 ,
